SKU,nombre_limpio,Existencia,Ventas,Popular,variaciones,,,,,,,,
INS01L125,Insulina,1,169,no,bolsa 1 litros,,,,,,,,
IRE08L006,Ixora Reyna,79,4000,si,bolsa 8 litros,,,,,,,,
IRI06P125,Iris,49,791,si,maceta negra 6 pulgadas,,,,,,,,
JAB20L105,Jaboticabo,7,75,no,bolsa 20 litros|bolsa 18 litros|bolsa 50 litros|bolsa 10 litros|bolsa 40 litros,,,,,,,,
JAC04L077,Jacaranda,1,289,si,bolsa 4 litros|bolsa 2 litros|bolsa 65 litros|bolsa 45 litros|bolsa 60 litros|bolsa 80 litros,,,,,,,,
JAC60L170,Jacaranda Bca,12,44,no,bolsa 60 litros|bolsa 10 litros,,,,,,,,
JAD15L130,Jade,13,60,no,bolsa 15 litros,,,,,,,,
JAR10L009,Jazmin De Arabia,63,384,si,bolsa 10 litros,,,,,,,,
JAR30L125,Jarilla,1,0,no,bolsa 30 litros,,,,,,,,
JAZ20L006,Junipero Azul,4,1060,si,bolsa 20 litros,,,,,,,,
JES04L133,Junipero Sparta,20,0,no,bolsa 4 litros,,,,,,,,
JES08L010,Junipero Estrella,19,1052,si,bolsa 8 litros,,,,,,,,
JGM10L127,Junipero Green Mountain,16,386,si,bolsa 10 litros|maceta negra 12 pulgadas,,,,,,,,
JHE02L164,Jazmin Hembra,79,375,si,bolsa 2 litros,,,,,,,,
JPN03L010,Junipero Procumbens Nana,1,2361,si,bolsa 3 litros|bolsa 4 litros|maceta negra 10 pulgadas|bolsa 8 litros,,,,,,,,
JSJ03L010,Junipero San Jose,106,1160,si,bolsa 3 litros|bolsa 8 litros,,,,,,,,
JTA20L006,Junipero Tapizante,40,1428,si,bolsa 20 litros|bolsa 4 litros|bolsa 45 litros,,,,,,,,
LAF06P170,Lechero Africano,33,62,no,maceta negra 6 pulgadas,,,,,,,,
LAM10L136,Laurel Amarillo,30,0,no,bolsa 10 litros,,,,,,,,
LAN02L077,Lantana,24,35621,si,bolsa 2 litros,,,,,,,,
LAV01L125,Lavanda,11,7080,si,bolsa 1 litros|bolsa 3 litros,,,,,,,,
LBE04L105,Luz De Bengala,46,4619,si,bolsa 4 litros,,,,,,,,
